i,elastic,inertia,body,contact,friction,damping,augmented_lagrangian_lagr,augmented_lagrangian_penalty,strain_augmented_lagrangian_lagr,strain_augmented_lagrangian_penalty,periodic_contact,total_energy
165,41023.2,118.926,-297847,5.41515,0,0,0,0,0,0,0,-256700
166,39142.6,123.254,-296230,5.29343,0,0,0,0,0,0,0,-256959
167,37322.3,124.158,-294786,5.18153,0,0,0,0,0,0,0,-257334
168,35575.6,121.022,-293532,5.07325,0,0,0,0,0,0,0,-257830
169,33919,117.853,-292483,4.99387,0,0,0,0,0,0,0,-258441
170,32364.2,114.943,-291647,4.95297,0,0,0,0,0,0,0,-259163
171,30918.4,111.562,-291032,4.91234,0,0,0,0,0,0,0,-259997
172,29591.8,109.183,-290636,4.89698,0,0,0,0,0,0,0,-260930
173,28375.2,108.243,-290455,4.90531,0,0,0,0,0,0,0,-261967
174,27274.9,106.437,-290484,4.92562,0,0,0,0,0,0,0,-263098
175,26278.4,108.438,-290714,4.95725,0,0,0,0,0,0,0,-264322
176,25376.6,106.209,-291139,4.96413,0,0,0,0,0,0,0,-265651
177,24588.2,101.612,-291764,4.96837,0,0,0,0,0,0,0,-267069
178,23939.6,99.7911,-292586,5.0049,0,0,0,0,0,0,0,-268542
179,23461.8,96.6532,-293605,5.05663,0,0,0,0,0,0,0,-270041
180,23129.8,98.6216,-294812,5.10259,0,0,0,0,0,0,0,-271578
181,22956,100.641,-296200,5.14105,0,0,0,0,0,0,0,-273138
182,22977.3,97.979,-297771,5.15948,0,0,0,0,0,0,0,-274690
183,23235.3,112.547,-299512,5.25775,0,0,0,0,0,0,0,-276159
184,23719.9,108.739,-301417,5.32975,0,0,0,0,0,0,0,-277583
185,24419.7,120.385,-303465,5.47092,0,0,0,0,0,0,0,-278919
186,25371,118.079,-305642,5.55362,0,0,0,0,0,0,0,-280148
187,26565.8,114.076,-307939,5.63484,0,0,0,0,0,0,0,-281253
188,28051.3,137.148,-310329,5.77888,0,0,0,0,0,0,0,-282135
189,29919.3,198.458,-312758,6.0504,0,0,0,0,0,0,0,-282634
190,32067,217.265,-315187,6.30765,0,0,0,0,0,0,0,-282896
191,34293,220.304,-317585,6.47388,0,0,0,0,0,0,0,-283065
192,36562.7,197.314,-319927,6.57289,0,0,0,0,0,0,0,-283160
193,38885,179.527,-322188,6.62216,0,0,0,0,0,0,0,-283116
194,41386.4,215.633,-324315,6.82364,0,0,0,0,0,0,0,-282706
195,44012.9,181.594,-326288,6.90237,0,0,0,0,0,0,0,-282087
196,46645.6,185.354,-328094,6.95941,0,0,0,0,0,0,0,-281256
197,49224.1,213.689,-329700,7.11061,0,0,0,0,0,0,0,-280255
198,51741,252.752,-331048,7.37665,0,0,0,0,0,0,0,-279047
199,54090.3,243.608,-332103,7.5066,0,0,0,0,0,0,0,-277762
200,56178.6,247.149,-332842,7.59978,0,0,0,0,0,0,0,-276409
